id,title,rating,date,body,sentiment,category,satisfied,text
464,colis jamais reçu,1,2024-05-31 00:00:00+00:00,colis jamais reçu,Negative,Shipping,0,colis jamais reçu colis jamais reçu
465,Impeccable !,5,2024-06-23 00:00:00+00:00,"Transaction rapide,colis expédié très vite par le vendeur, et avec le plus grand soin !",Neutral,Shipping,1,"Impeccable ! Transaction rapide,colis expédié très vite par le vendeur, et avec le plus grand soin !"
466,Site fiable et sérieux,4,2024-06-23 00:00:00+00:00,"Site fiable et sérieux
",Neutral,Marketplace,1,"Site fiable et sérieux Site fiable et sérieux
"
467,Tout est parfait ,5,2024-06-23 00:00:00+00:00,Tout est parfait ! Merci ,Positive,Uncategorized,1,Tout est parfait  Tout est parfait ! Merci 
468,reception rapide conforme à mes attentes,5,2024-06-23 00:00:00+00:00,reception rapide conforme à mes attentes,Neutral,Uncategorized,1,reception rapide conforme à mes attentes reception rapide conforme à mes attentes
469,j'attends mon remboursement depuis un…,3,2024-06-06 00:00:00+00:00,j'attends mon remboursement depuis un bon moment ..... pas très réactif.,Negative,Customer Service,0,j'attends mon remboursement depuis un… j'attends mon remboursement depuis un bon moment ..... pas très réactif.
470,Expérience réussie ,5,2024-06-23 00:00:00+00:00,"Expérience réussie, tout s’est fait rapidement et dans de bonnes conditions ",Positive,Uncategorized,1,"Expérience réussie  Expérience réussie, tout s’est fait rapidement et dans de bonnes conditions "
471,Toujours du choix et des prix…,5,2024-06-23 00:00:00+00:00,Toujours du choix et des prix attractifs sur ce site,Neutral,Marketplace,1,Toujours du choix et des prix… Toujours du choix et des prix attractifs sur ce site
472,Aucun problème avec la commande reçu,5,2024-06-23 00:00:00+00:00,Aucun problème avec la commande reçu,Negative,Customer Service,1,Aucun problème avec la commande reçu Aucun problème avec la commande reçu
473,pas de surprise et fiable.,5,2024-06-23 00:00:00+00:00,pas de surprise et fiable.,Negative,Uncategorized,1,pas de surprise et fiable. pas de surprise et fiable.
474,Le vendeur m'a bien informé de…,5,2024-06-23 00:00:00+00:00,"Le vendeur m'a bien informé de l'évolution de ma commande, les livres était dans un excellent état et très bien emballés et la livraison rapide.",Positive,Customer Service,1,"Le vendeur m'a bien informé de… Le vendeur m'a bien informé de l'évolution de ma commande, les livres était dans un excellent état et très bien emballés et la livraison rapide."
475,"Rapide, efficace, produit en très bon état",5,2024-06-23 00:00:00+00:00,Rapide efficace produit en très bon état ,Neutral,Marketplace,1,"Rapide, efficace, produit en très bon état Rapide efficace produit en très bon état "
476,Bonne expérience malgré un délai de…,5,2024-06-22 00:00:00+00:00,Bonne expérience malgré un délai de livraison à rallonge,Neutral,Shipping,1,Bonne expérience malgré un délai de… Bonne expérience malgré un délai de livraison à rallonge
477,Envoi et produit parfaits,5,2024-06-23 00:00:00+00:00,Envoi et produit parfaits,Neutral,Shipping,1,Envoi et produit parfaits Envoi et produit parfaits
478,envoi rapide,4,2024-06-23 00:00:00+00:00,"envoi rapide, produit conforma",Neutral,Shipping,1,"envoi rapide envoi rapide, produit conforma"
479,Très contente de mon achat et la…,5,2024-06-23 00:00:00+00:00,Très contente de mon achat et la réactivité de Rakuten. Merci ,Negative,Uncategorized,1,Très contente de mon achat et la… Très contente de mon achat et la réactivité de Rakuten. Merci 
480,J'ai acheté un Kindle pour 10 euros de…,5,2024-06-23 00:00:00+00:00,J'ai acheté un Kindle pour 10 euros de moins que la même liseuse sur Amazon !,Negative,Marketplace,1,J'ai acheté un Kindle pour 10 euros de… J'ai acheté un Kindle pour 10 euros de moins que la même liseuse sur Amazon !
481,Produit conforme à la description ,4,2024-06-23 00:00:00+00:00,Emballage soigné et livraison rapide ,Neutral,Shipping,1,Produit conforme à la description  Emballage soigné et livraison rapide 
482,rapidité et fiabilité,5,2024-06-23 00:00:00+00:00,rapidité et fiabilité,Neutral,Uncategorized,1,rapidité et fiabilité rapidité et fiabilité
483,Ras tout a ete parfait,5,2024-06-22 00:00:00+00:00,Ras tout a ete parfait,Positive,Uncategorized,1,Ras tout a ete parfait Ras tout a ete parfait
484,Parfait,5,2024-06-23 00:00:00+00:00,"Rapide, efficace, bon état du livre.
Parfait. ",Positive,Uncategorized,1,"Parfait Rapide, efficace, bon état du livre.
Parfait. "
485,Produits livrés dans les créneaux…,4,2024-06-23 00:00:00+00:00,Produits livrés dans les créneaux indiqué aucun problème sur les emballages ,Negative,Customer Service,1,Produits livrés dans les créneaux… Produits livrés dans les créneaux indiqué aucun problème sur les emballages 
486,Satisfait ,5,2024-06-23 00:00:00+00:00,Produit reçu conforme et dans des délais satisfaisants,Neutral,Shipping,1,Satisfait  Produit reçu conforme et dans des délais satisfaisants
487,Livraison conforme aux prévisions,5,2024-06-23 00:00:00+00:00,"Livraison conforme aux prévisions
",Negative,Shipping,1,"Livraison conforme aux prévisions Livraison conforme aux prévisions
"
488,Très bien ,5,2024-06-23 00:00:00+00:00,"Très bien, livraison rapide et livre conforme ",Positive,Shipping,1,"Très bien  Très bien, livraison rapide et livre conforme "
489,Bonne expérience,4,2024-06-23 00:00:00+00:00,Bonne expérience dans l'ensemble due au sérieux des vendeurs. ,Neutral,Uncategorized,1,Bonne expérience Bonne expérience dans l'ensemble due au sérieux des vendeurs. 
490,Parfait rapide et bien géré de bout en…,5,2024-06-23 00:00:00+00:00,Parfait rapide et bien géré de bout en bout les informations sur l'avancement de la livraison du coli étaient parfaites ,Positive,Shipping,1,Parfait rapide et bien géré de bout en… Parfait rapide et bien géré de bout en bout les informations sur l'avancement de la livraison du coli étaient parfaites 
491,Achat rakuten ,5,2024-06-23 00:00:00+00:00,"Très bonne expérience comme a chaque achat bonne communication, suivant de la commande parfait je recommande rakuten .",Positive,Customer Service,1,"Achat rakuten  Très bonne expérience comme a chaque achat bonne communication, suivant de la commande parfait je recommande rakuten ."
492,Délais de livraison respecté,5,2024-06-23 00:00:00+00:00,"Délais de livraison respecté,  emballage soigné et prix compétitif. ",Negative,Shipping,1,"Délais de livraison respecté Délais de livraison respecté,  emballage soigné et prix compétitif. "
493,J'avais un petit doute en achetant un…,5,2024-06-21 00:00:00+00:00,"J'avais un petit doute en achetant un Pack Office à moins de 1e.
Mais j'ai eu raison de tenter. Parfait. 
Téléchargement effectué dès la fin de l'achat et installation tout aussi rapide.
Et plus de 2 mois d'utilisation et ça fonctionne toujours très bien ",Positive,Uncategorized,1,"J'avais un petit doute en achetant un… J'avais un petit doute en achetant un Pack Office à moins de 1e.
Mais j'ai eu raison de tenter. Parfait. 
Téléchargement effectué dès la fin de l'achat et installation tout aussi rapide.
Et plus de 2 mois d'utilisation et ça fonctionne toujours très bien "
494,Bien ,5,2024-06-23 00:00:00+00:00,Reçu dans les temps ,Neutral,Uncategorized,1,Bien  Reçu dans les temps 
495,"Bonne transaction, le produit acheté me satisfait",4,2024-06-23 00:00:00+00:00,"Bonne transaction, le produit acheté me satisfait.
Mais l'interface du site mériterait à être plus conviviale.
",Positive,Marketplace,1,"Bonne transaction, le produit acheté me satisfait Bonne transaction, le produit acheté me satisfait.
Mais l'interface du site mériterait à être plus conviviale.
"
496,Produit bon état tel descriptif…,4,2024-06-23 00:00:00+00:00,Produit bon état tel descriptif satisfait merci,Neutral,Marketplace,1,Produit bon état tel descriptif… Produit bon état tel descriptif satisfait merci
497,Un dvd au lieu de deux,2,2024-06-23 00:00:00+00:00,Pour un dvd d'opéra en 2 dvd le vendeur n'a pas précisé que son coffret ne comportait que le dvd de l'acte 2 (le dvd 1 étant par ailleurs introuvable). Il s'agit de Cosi fan tutte version Harnoncourt. Je suis dès lors obligé de racheter l'oeuvre si je veux l'opéra complet.,Negative,Uncategorized,0,Un dvd au lieu de deux Pour un dvd d'opéra en 2 dvd le vendeur n'a pas précisé que son coffret ne comportait que le dvd de l'acte 2 (le dvd 1 étant par ailleurs introuvable). Il s'agit de Cosi fan tutte version Harnoncourt. Je suis dès lors obligé de racheter l'oeuvre si je veux l'opéra complet.
498,très bien rapide,5,2024-06-23 00:00:00+00:00,très bien rapide,Positive,Uncategorized,1,très bien rapide très bien rapide
499,tres bien,5,2024-06-23 00:00:00+00:00,"tres bien, pas de soucis",Negative,Uncategorized,1,"tres bien tres bien, pas de soucis"
500,Bonne expérience d'achat de libres…,4,2024-06-23 00:00:00+00:00,"Bonne expérience d'achat de libres d'occasion, bon suivi, livraison en temps prévu.",Neutral,Shipping,1,"Bonne expérience d'achat de libres… Bonne expérience d'achat de libres d'occasion, bon suivi, livraison en temps prévu."
501,"Rapide, efficace",5,2024-06-20 00:00:00+00:00,"Rapide,efficace",Positive,Uncategorized,1,"Rapide, efficace Rapide,efficace"
503,Transaction conforme et sûre.,5,2024-06-23 00:00:00+00:00,"Transaction conforme et sûre.
Envoi rapide. Conditionnement adapté.",Neutral,Shipping,1,"Transaction conforme et sûre. Transaction conforme et sûre.
Envoi rapide. Conditionnement adapté."
504,"Très bien , parfait",5,2024-06-23 00:00:00+00:00,Rapidité et serieux,Positive,Uncategorized,1,"Très bien , parfait Rapidité et serieux"
505,Rien à dire ,5,2024-06-23 00:00:00+00:00,Tout est ok 👍🏻,Negative,Uncategorized,1,Rien à dire  Tout est ok 👍🏻
506,Trop bien ,5,2024-06-23 00:00:00+00:00,Trop bien ! Rien de plus à rajouter ,Neutral,Uncategorized,1,Trop bien  Trop bien ! Rien de plus à rajouter 
507,Le service clients Rakuten est réactif,5,2024-06-22 00:00:00+00:00,Le service clients Rakuten est disponible et prêt à porter assistance facilement ! ,Negative,Customer Service,1,Le service clients Rakuten est réactif Le service clients Rakuten est disponible et prêt à porter assistance facilement ! 
508,Très satisfaisant,5,2024-06-05 00:00:00+00:00,"Expédition rapide.
Colis bien fait.
Commande correspondant au descriptif et à mes attentes.
Petit mot sympa du vendeur.",Positive,Customer Service,1,"Très satisfaisant Expédition rapide.
Colis bien fait.
Commande correspondant au descriptif et à mes attentes.
Petit mot sympa du vendeur."
509,Une fois que vous avez vendu ils ne…,2,2024-06-21 00:00:00+00:00,Une fois que vous avez vendu ils ne sont pas pressé pour reverser l argent de la vente.,Negative,Marketplace,0,Une fois que vous avez vendu ils ne… Une fois que vous avez vendu ils ne sont pas pressé pour reverser l argent de la vente.
510,TRES BIEN,5,2024-06-22 00:00:00+00:00,Très bien reçu. La cafetière fonctionne très bien,Neutral,Uncategorized,1,TRES BIEN Très bien reçu. La cafetière fonctionne très bien
511,L’objet reçu rapidement avec suivi,5,2024-06-21 00:00:00+00:00,"L’objet reçu rapidement avec suivi, très bon vendeur",Neutral,Uncategorized,1,"L’objet reçu rapidement avec suivi L’objet reçu rapidement avec suivi, très bon vendeur"
512,Acheter rakuten,5,2024-06-24 00:00:00+00:00,"Pour moi c'est le meilleur fournisseur de logiciel qui pratique des prix bas.
Je fais mes commande de logiciel uniquement chez rakuten je recommande vivement ⁹",Negative,Customer Service,1,"Acheter rakuten Pour moi c'est le meilleur fournisseur de logiciel qui pratique des prix bas.
Je fais mes commande de logiciel uniquement chez rakuten je recommande vivement ⁹"
513,Très bien,5,2024-06-22 00:00:00+00:00,"Très bien, livre d'occasion comme neuf ",Neutral,Uncategorized,1,"Très bien Très bien, livre d'occasion comme neuf "
514,Service sérieux,5,2024-06-21 00:00:00+00:00,"Ca fait depuis plus d'un an que je commande sur Rakuten, je n'ai commandé que des petits articles et ca c'est toujours bien passé, le suivi des colis est accessible facilement, les articles arrivent en bon état, le seul soucis c'est la gestion des prix des livraison selon les vendeurs, ca peut vite se cumuler dans les paniers et rajouter une grosse somme, mais le service Rakuten en lui-même est très bien",Negative,Customer Service,1,"Service sérieux Ca fait depuis plus d'un an que je commande sur Rakuten, je n'ai commandé que des petits articles et ca c'est toujours bien passé, le suivi des colis est accessible facilement, les articles arrivent en bon état, le seul soucis c'est la gestion des prix des livraison selon les vendeurs, ca peut vite se cumuler dans les paniers et rajouter une grosse somme, mais le service Rakuten en lui-même est très bien"
515,Envoi soigné et rapide,5,2024-06-18 00:00:00+00:00,Envoi soigné et rapide. Livre en très bon état. Merci. ,Neutral,Shipping,1,Envoi soigné et rapide Envoi soigné et rapide. Livre en très bon état. Merci. 
516,Bcp de choix,5,2024-06-22 00:00:00+00:00,Bcp de choix - des délais rapides -  la qualité des produits -  ,Positive,Shipping,1,Bcp de choix Bcp de choix - des délais rapides -  la qualité des produits -  
517,Conforme en tous points ,5,2024-06-22 00:00:00+00:00,"Envoi rapide et soigné. Livre dans l’état annoncé. Donc, achat très satisfaisant.",Neutral,Shipping,1,"Conforme en tous points  Envoi rapide et soigné. Livre dans l’état annoncé. Donc, achat très satisfaisant."
518,Produit conforme,5,2024-06-20 00:00:00+00:00,"Produit conforme, délais respectés",Negative,Shipping,1,"Produit conforme Produit conforme, délais respectés"
519,Rapide et efficace ,5,2024-06-22 00:00:00+00:00,"Rapide et efficace ! Parfait, merci",Positive,Uncategorized,1,"Rapide et efficace  Rapide et efficace ! Parfait, merci"
520,Super site ,5,2024-06-21 00:00:00+00:00,"Super site , on trouve beaucoup de choses intéressantes , merci l’équipe rakuten .",Neutral,Marketplace,1,"Super site  Super site , on trouve beaucoup de choses intéressantes , merci l’équipe rakuten ."
521,J'ai trouvé ce que je voulais et la…,5,2024-06-21 00:00:00+00:00,J'ai trouvé ce que je voulais et la livraison a été assez rapide.,Neutral,Shipping,1,J'ai trouvé ce que je voulais et la… J'ai trouvé ce que je voulais et la livraison a été assez rapide.
522,Achat livres d’occasion,5,2024-06-22 00:00:00+00:00,Mon achat de livres d’occasion via Rakuten a été très satisfaisante. Rapidité dans l’envoi et la réception des commandes et leur emballage soigné.,Negative,Customer Service,1,Achat livres d’occasion Mon achat de livres d’occasion via Rakuten a été très satisfaisante. Rapidité dans l’envoi et la réception des commandes et leur emballage soigné.
523,Le produit ne correspond pas au…,2,2024-06-10 00:00:00+00:00,Le produit ne correspond pas au descriptif.,Negative,Marketplace,0,Le produit ne correspond pas au… Le produit ne correspond pas au descriptif.
524,Annulation de commande en cours de vérification ,1,2024-06-23 00:00:00+00:00,"MIS A JOUR :

J'AI DEMANDÉ UNE ANNULATION ET ONT M'A DIT QU'ELLE A ÉTÉ PRIS EN COMPTE ET JE CONSTATE CE MATIN QUE LE VENDEUR A CONFIRMÉ LA COMMANDE !!! 

J'AI ÉTÉ PRÉLEVÉ. C'EST INADMISSIBLE !


Bonjour,

Je vous écris pour demander de toute urgence l'ANNULATION de ma commande passée récemment sur votre site. Voici les détails de la commande :

- Produit commandé : OnePlus 12
- Numéro de commande : 936442041

L'achat est toujours en cours de vérification par vos services, donc le paiement est en attente. Je souhaite annuler cette commande avant qu'elle ne soit validée et expédiée. Pouvez-vous, s'il vous plaît, confirmer l'annulation immédiatement et m'informer des démarches suivantes ?

Je vous remercie par avance de votre compréhension et de votre coopération.

Cordialement",Negative,Customer Service,0,"Annulation de commande en cours de vérification  MIS A JOUR :

J'AI DEMANDÉ UNE ANNULATION ET ONT M'A DIT QU'ELLE A ÉTÉ PRIS EN COMPTE ET JE CONSTATE CE MATIN QUE LE VENDEUR A CONFIRMÉ LA COMMANDE !!! 

J'AI ÉTÉ PRÉLEVÉ. C'EST INADMISSIBLE !


Bonjour,

Je vous écris pour demander de toute urgence l'ANNULATION de ma commande passée récemment sur votre site. Voici les détails de la commande :

- Produit commandé : OnePlus 12
- Numéro de commande : 936442041

L'achat est toujours en cours de vérification par vos services, donc le paiement est en attente. Je souhaite annuler cette commande avant qu'elle ne soit validée et expédiée. Pouvez-vous, s'il vous plaît, confirmer l'annulation immédiatement et m'informer des démarches suivantes ?

Je vous remercie par avance de votre compréhension et de votre coopération.

Cordialement"
525,Accès à des ouvrages épuisés …,5,2024-06-22 00:00:00+00:00,"Il s’agissait d’un petit opuscule sur un peintre de la fin du gothique datant de 1985 (et bien sûr totalement épuisé). Le principal point positif de Rakuten aura été de me permettre d’entrer en contact via le site avec un vendeur, lequel de surcroît m’a envoyé rapidement ce petit livre, bien emballé et conforme à la description",Positive,Customer Service,1,"Accès à des ouvrages épuisés … Il s’agissait d’un petit opuscule sur un peintre de la fin du gothique datant de 1985 (et bien sûr totalement épuisé). Le principal point positif de Rakuten aura été de me permettre d’entrer en contact via le site avec un vendeur, lequel de surcroît m’a envoyé rapidement ce petit livre, bien emballé et conforme à la description"
526,Rakuten France un bon site ,5,2024-06-22 00:00:00+00:00,Rakuten France un bon site Paiement PayPal accepté donc rien à craindre nickel ras,Negative,Marketplace,1,Rakuten France un bon site  Rakuten France un bon site Paiement PayPal accepté donc rien à craindre nickel ras
527,BONNE LIVRAISON,4,2024-06-10 00:00:00+00:00,BONNE LIVRAISON,Neutral,Shipping,1,BONNE LIVRAISON BONNE LIVRAISON
528,"Rakuten, c'est le e-commerce à la française!",4,2024-06-10 00:00:00+00:00,"Une plateforme qui agrège de nombreuses offres avec des prix parfois très intéressants. Super pratique pour faire ses achats.
Merci",Neutral,Uncategorized,1,"Rakuten, c'est le e-commerce à la française! Une plateforme qui agrège de nombreuses offres avec des prix parfois très intéressants. Super pratique pour faire ses achats.
Merci"
529,Je n'ai pas encore reçu ma commande…,5,2024-06-22 00:00:00+00:00,Je n'ai pas encore reçu ma commande mais je n'ai rencontré aucune difficulté pour la passer.,Negative,Customer Service,1,Je n'ai pas encore reçu ma commande… Je n'ai pas encore reçu ma commande mais je n'ai rencontré aucune difficulté pour la passer.
530,Tout s'est bien passé,5,2024-06-22 00:00:00+00:00,Tout s'est bien passé. Merci,Negative,Uncategorized,1,Tout s'est bien passé Tout s'est bien passé. Merci
531,Très content du système ,5,2024-06-12 00:00:00+00:00,Bonne expérience ,Neutral,Uncategorized,1,Très content du système  Bonne expérience 
532,Rakuten n'est pas efficace,2,2024-06-21 00:00:00+00:00,"Le vendeur n'a pas été informé de la vente. C'est moi qui ai pris contact. Je devais fournir une adresse mail et un tel. pour l'envoi: mes 2 messages sont supprimés par vous et pas envoyés. On a du se débrouiller autrement. Frais de Livraison ""simple"" indiquée au vendeur, alors que j'ai payé une livraison avec suivi et signature. N'importe quoi.",Negative,Customer Service,0,"Rakuten n'est pas efficace Le vendeur n'a pas été informé de la vente. C'est moi qui ai pris contact. Je devais fournir une adresse mail et un tel. pour l'envoi: mes 2 messages sont supprimés par vous et pas envoyés. On a du se débrouiller autrement. Frais de Livraison ""simple"" indiquée au vendeur, alors que j'ai payé une livraison avec suivi et signature. N'importe quoi."
533,Service de livraison impeccable et…,5,2024-06-12 00:00:00+00:00,"Service de livraison impeccable et raide. Matériel conforme à la demande.
Seul bémol, mais peut-être plutôt lié au matériel : j'ai eu des problèmes de transfert de données depuis mon ancien téléphone, puis j'ai carrément perdu la ""maitrise"" du téléphone. Le mode d'emploi joint au Crosscall core X5 ne permet pas de résoudre ces problèmes. Il a fallu que je me déébrouille avec le net.",Negative,Electronics,1,"Service de livraison impeccable et… Service de livraison impeccable et raide. Matériel conforme à la demande.
Seul bémol, mais peut-être plutôt lié au matériel : j'ai eu des problèmes de transfert de données depuis mon ancien téléphone, puis j'ai carrément perdu la ""maitrise"" du téléphone. Le mode d'emploi joint au Crosscall core X5 ne permet pas de résoudre ces problèmes. Il a fallu que je me déébrouille avec le net."
534,Livre,5,2024-06-22 00:00:00+00:00,Bon marché sans savoir pourquoi !,Negative,Uncategorized,1,Livre Bon marché sans savoir pourquoi !
535,Efficacité ,5,2024-06-21 00:00:00+00:00,Rapidité réactivité et très bon suivi. Très bonne expérience ,Neutral,Uncategorized,1,Efficacité  Rapidité réactivité et très bon suivi. Très bonne expérience 
536,Téléphone qui a rendu l’âme au bout de…,1,2024-06-10 00:00:00+00:00,"Téléphone qui a rendu l’âme au bout de 3 semaines. Cela fait 15 jours qu’il est en réparation chez le vendeur qui ne donne aucune nouvelle (pas même une confirmation de bonne réception !)
",Negative,Electronics,0,"Téléphone qui a rendu l’âme au bout de… Téléphone qui a rendu l’âme au bout de 3 semaines. Cela fait 15 jours qu’il est en réparation chez le vendeur qui ne donne aucune nouvelle (pas même une confirmation de bonne réception !)
"
537,J'ai pu trouver les trois tomes d'une…,5,2024-06-22 00:00:00+00:00,"J'ai pu trouver les trois tomes d'une trilogie, pas toujours évidente à reconstituer...",Negative,Uncategorized,1,"J'ai pu trouver les trois tomes d'une… J'ai pu trouver les trois tomes d'une trilogie, pas toujours évidente à reconstituer..."
538,Des qualités,5,2024-06-22 00:00:00+00:00,Diversité de l'offre et prix avantageux. ,Negative,Uncategorized,1,Des qualités Diversité de l'offre et prix avantageux. 
539,Conforme,5,2024-06-22 00:00:00+00:00,"Conforme, envoi rapide.",Neutral,Shipping,1,"Conforme Conforme, envoi rapide."
540,Livre commandé reçu en excellent état,5,2024-06-18 00:00:00+00:00,"Livre commandé reçu en excellent état, prix intéressant.",Neutral,Uncategorized,1,"Livre commandé reçu en excellent état Livre commandé reçu en excellent état, prix intéressant."
541,Parfait ,5,2024-06-22 00:00:00+00:00,Parfait ! conforme à mes attentes ,Neutral,Uncategorized,1,Parfait  Parfait ! conforme à mes attentes 
542,iPhone reconditionné parfait état ,4,2024-06-22 00:00:00+00:00,"En ce qui concerne le produit c'est parfait, aucun défaut.
Identique en qualité à celui acheté précédemment ",Neutral,Electronics,1,"iPhone reconditionné parfait état  En ce qui concerne le produit c'est parfait, aucun défaut.
Identique en qualité à celui acheté précédemment "
543,Tout s'est bien passé jusqu'au moment…,4,2024-06-22 00:00:00+00:00,"Tout s'est bien passé jusqu'au moment où j'ai voulu mettre en service le lecteur de DVD : il ne fonctionnait pas. 1 minute après la mise en route, l'appareil s'éteignait.
J'ai donc engagé une opération de retour et tout s'est bien passé : je le renvoie demain, via La Poste.",Negative,Customer Service,1,"Tout s'est bien passé jusqu'au moment… Tout s'est bien passé jusqu'au moment où j'ai voulu mettre en service le lecteur de DVD : il ne fonctionnait pas. 1 minute après la mise en route, l'appareil s'éteignait.
J'ai donc engagé une opération de retour et tout s'est bien passé : je le renvoie demain, via La Poste."
544,Commande et expédition conforme,5,2024-06-20 00:00:00+00:00,"
Commande et expédition conforme ",Negative,Customer Service,1,"Commande et expédition conforme 
Commande et expédition conforme "
545,Bonne,4,2024-06-21 00:00:00+00:00,"Bonjour, bonne expérience produit convenable bonne livraison",Neutral,Shipping,1,"Bonne Bonjour, bonne expérience produit convenable bonne livraison"
546,"Facilité à réaliser la commande, mais fuite de données ?",4,2024-06-17 00:00:00+00:00,"Facilité à réaliser la commande, livraison rapide et efficace.
Par contre : y aurait-il des fuites d'infos/données clients ? J'ai reçu un sms frauduleux la veille de la réception de ma commande : votre colis ne rentre pas dans votre boîte aux lettres, etc... veuillez payer x€... puis demande No CB...!. J'ai abandonné, évidemment, mais c'est un peu dangereux...",Negative,Customer Service,1,"Facilité à réaliser la commande, mais fuite de données ? Facilité à réaliser la commande, livraison rapide et efficace.
Par contre : y aurait-il des fuites d'infos/données clients ? J'ai reçu un sms frauduleux la veille de la réception de ma commande : votre colis ne rentre pas dans votre boîte aux lettres, etc... veuillez payer x€... puis demande No CB...!. J'ai abandonné, évidemment, mais c'est un peu dangereux..."
547,ATTRACTIVE ,5,2024-06-22 00:00:00+00:00,"pour de ce qui est de la commande , je suis satisfait des produits et souhaite encore en acheter . 
la livraison est rapide et les prix reste très attractifs . rien à redire pour cette entreprise de vente d'occasion .",Positive,Customer Service,1,"ATTRACTIVE  pour de ce qui est de la commande , je suis satisfait des produits et souhaite encore en acheter . 
la livraison est rapide et les prix reste très attractifs . rien à redire pour cette entreprise de vente d'occasion ."
548,Serieux,5,2024-06-22 00:00:00+00:00,"Serieux, Rapide, efficace",Positive,Uncategorized,1,"Serieux Serieux, Rapide, efficace"
549,"Simple, efficace et conforme.",5,2024-06-22 00:00:00+00:00,Process de commande simple. La transaction s'est effectuée dans le respect des règles. Livraison avec un délai raisonnable et produit tout à fait conforme à l'annonce. ,Negative,Customer Service,1,"Simple, efficace et conforme. Process de commande simple. La transaction s'est effectuée dans le respect des règles. Livraison avec un délai raisonnable et produit tout à fait conforme à l'annonce. "
550,Achat manuel mécanique générale ,5,2024-06-22 00:00:00+00:00,"Très bien et bon site sur lequel j ai pu trouver ce que je voulais, pas déçu de mon achat bien au contraire ",Negative,Marketplace,1,"Achat manuel mécanique générale  Très bien et bon site sur lequel j ai pu trouver ce que je voulais, pas déçu de mon achat bien au contraire "
551,Super achat merci à vous,5,2024-06-22 00:00:00+00:00,Super achat merci à vous,Positive,Uncategorized,1,Super achat merci à vous Super achat merci à vous
552,Ce questionnaire est le deuxième…,4,2024-06-22 00:00:00+00:00,"Ce questionnaire est le deuxième transmis.
J'ai répondu au premier et je n'ai rien à ajouter.
Cesser de polluer les mails avec ce type de questionnaire.",Negative,Uncategorized,1,"Ce questionnaire est le deuxième… Ce questionnaire est le deuxième transmis.
J'ai répondu au premier et je n'ai rien à ajouter.
Cesser de polluer les mails avec ce type de questionnaire."
553,Parfait ,5,2024-06-22 00:00:00+00:00,Parfait ! Livraison rapide et sans problème.,Neutral,Customer Service,1,Parfait  Parfait ! Livraison rapide et sans problème.
554,Vendeurs fiables,5,2024-06-21 00:00:00+00:00,"Vendeurs fiables, et pas chers",Negative,Uncategorized,1,"Vendeurs fiables Vendeurs fiables, et pas chers"
555,Première commande auprès de votre site,5,2024-06-22 00:00:00+00:00,C'est la première fois que j'utilise votre site. La description du produit proposé par le vendeur est tout à fait conforme au produit reçu. je repasserai une commande avec confiance.,Negative,Customer Service,1,Première commande auprès de votre site C'est la première fois que j'utilise votre site. La description du produit proposé par le vendeur est tout à fait conforme au produit reçu. je repasserai une commande avec confiance.
556,Livraison rapide,5,2024-06-18 00:00:00+00:00,Livraison rapide. Colis arrivé en bon état et conforme à toutes les attentes,Neutral,Shipping,1,Livraison rapide Livraison rapide. Colis arrivé en bon état et conforme à toutes les attentes
557,Respect du prix et les délais de…,5,2024-06-21 00:00:00+00:00,Respect du prix et les délais de livraison.,Negative,Shipping,1,Respect du prix et les délais de… Respect du prix et les délais de livraison.
558,Expérience plus que positive,5,2024-06-22 00:00:00+00:00,Expérience plus que positive. Les engagements sont tenus et les produits vendus sur le site sont conformes à ce qui est écrit et annoncé. Je suis plus que satisfait de mon achat. En plus on a le choix. Je ne passerai plus par d’autres sites en ce qui concerne l’informatique.,Negative,Marketplace,1,Expérience plus que positive Expérience plus que positive. Les engagements sont tenus et les produits vendus sur le site sont conformes à ce qui est écrit et annoncé. Je suis plus que satisfait de mon achat. En plus on a le choix. Je ne passerai plus par d’autres sites en ce qui concerne l’informatique.
559,J'ai trouvé ce que je cherchais,5,2024-06-22 00:00:00+00:00,"J'ai trouvé ce que je cherchais, pas trop cher. Et l'envoi était très rapide. Parfait ",Neutral,Shipping,1,"J'ai trouvé ce que je cherchais J'ai trouvé ce que je cherchais, pas trop cher. Et l'envoi était très rapide. Parfait "
560,Rakuten n'accepte toujours pas ma…,2,2024-06-22 00:00:00+00:00,"Rakuten n'accepte toujours pas ma Mastercard comme moyen de paiement, et c'est bien chez Rakuten où se trouve le problème ...",Negative,Customer Service,0,"Rakuten n'accepte toujours pas ma… Rakuten n'accepte toujours pas ma Mastercard comme moyen de paiement, et c'est bien chez Rakuten où se trouve le problème ..."
561,Achat réalisé avec succès ,5,2024-06-22 00:00:00+00:00,"Achat réalisé avec succès 
Article conforme à la description 
Envoi tres rapide
Bon vendeur, prix attractif ",Neutral,Shipping,1,"Achat réalisé avec succès  Achat réalisé avec succès 
Article conforme à la description 
Envoi tres rapide
Bon vendeur, prix attractif "
562,Commande facile,5,2024-06-22 00:00:00+00:00,"Commande facile. Livraison OK. Produit conforme.

",Negative,Customer Service,1,"Commande facile Commande facile. Livraison OK. Produit conforme.

"
563,très bien comme ça doit être,5,2024-06-22 00:00:00+00:00,très bien comme ça doit être ,Neutral,Uncategorized,1,très bien comme ça doit être très bien comme ça doit être 
