title,rating,date,body,sentiment,category,month_year,satisfied
Pas clair du tout ??? colis jamais cherché suite à rétractation...,1,2023-08-23 00:00:00,"Suite à une rétractation de ma part je n'ai jamais cherché mon colis au point MondialRelay, le colis a donc été retourné à Rue du commerce, Rue du commerce m'a émis un bon d'achat de la valeur de ma commande, hors je leurs avait bien demandé un remboursement !  je ne souhaite tout simplement pas de bon d'achat mais récupérer mon argent. merci!!!",Neutral,Customer Service,2023-08,0
Arnaque!!!,1,2023-08-30 00:00:00,"Arnaque!!!! 2 fois ils m'ont validé ma commande, pris mon argent, pour que 1 semaine après la première commande puis 3 semaines après la seconde, ils me disent qu'ils n'ont pas le produit. Je n'ai plus eu de portable pendant près d'1 mois...Je voudrais mettre zero, mais on peut pas....A FUIRE ABSOLUMENT!!!",Neutral,Customer Service,2023-08,0
Achat d’un téléphone en mai,1,2023-09-22 00:00:00,"Achat d’un téléphone en mai, il est tombé en panne, deux mois pour pouvoir le renvoyer à mes frais à hongkong, deux semaines après le téléphone est remboursé mais pas les frais de retour !!!!
Service après vente du site aux abonnés absents et un vendeur qui sent fou royalement.
Site à fuire",Neutral,Electronics,2023-09,0
1 mois et demi après ma commande je…,1,2023-08-07 00:00:00,"1 mois et demi après ma commande je n’ai toujours pas reçu ma table impossible de contacter le transporteur et surtout menzzo à pris mes 570€ (sur le site rue du commerce qui n’a pas su traité ce vendeur) , je me sens volé et arnaque heureusement j’ai eu la présence d’esprit de payer en PayPal.",Negative,Customer Service,2023-08,0
Commande passé le 1 septembre,1,2023-09-01 00:00:00,"Commande passé le 1 septembre

La commande n'a pas étais reçu pour les vendeurs mais j'ai bien payé. on me fait attendre 20 jours pour qu'au final il me demande de l'annuler et de la repasser.

Inadmissible je ne vous conseille pas de commander chez eux

Le service client laisse a désirer.

A fuir absolument",Neutral,Customer Service,2023-09,0
Facile et rapide,5,2023-08-31 00:00:00,Informations claires sur le site. Commande effectuée rapidement. Suivi possible de la livraison. Délai respecté.,Positive,Customer Service,2023-08,1
site fiable,5,2023-09-21 00:00:00,Site fiable -,Positive,Marketplace,2023-09,1
HONTEUX - 0 pointé,1,2023-07-01 00:00:00,"Si il y avait possibilité de mettre 0 étoile, je l'aurai fait. 
Je suis en plein litige avec rueducommerce et un de leur revendeur (NETNBUY.COM, attention évitez le comme la peste !!) depuis plus de 2 mois.
Une commande faite en juin, soit disant livré le 1/07 alors que non : je n'étais pas à mon domicile et j'en ai plusieurs preuves. 
Depuis, je relance vendeur et rueducommerce, on a commencé par me faire tourner en bourrique disant que c'est l'été donc c'est plus long, ok admettons, j'attends, bonne pomme que je suis. 
On me demande d'écrire une lettre manuscrite sur l'honneur, signée, pour certifié que je ne mens pas, je le fais. 
Puis silence radio. 
Je relance fin aout (!!), j'attends et finalement on me répond ""le livreur a la preuve de livraison, voir ci-joint, bonne continuation"", la signature n'est pas la mienne !! et je le prouve via ma CNI etc qu'ils avaient déjà ! Donc ils n'ont meme pas regardé le document !
Je relance rueducommerce et le vendeur, on me dit de voir avec le transporteur (!) - dont je n'ai meme pas le contact accessoirement...
Il est totalement obvious que le livreur a soit volé le colis soit l'a donné au premier qui passait sans vérifier son identité.
Je n'ai aucun appel en absence qui pourrait montrer qu'un livreur m'a contactée pour me livrer ma commande. 
Pour une commande d'un produit de cette valeur, 500€, avec un montant de frais de livraison de 30€, c'est la moindre des choses non ? Je n'étais pas là, preuves à l'appui, donc si il a sonné chez moi, personne n'a répondu. Donc il aurait croisé quelqu'un, dit ""vous êtes madame ***"" et hop, l'a donné sans vérifier l'identité ? Voir a signé le papier lui même et a gardé le colis pour lui ?
Et dans ce cas, c'est à moi de payer les pots cassés ??
J'ai payé la livraison 30€ pour ce service honteux ??
J'attends réparation et je ne lâcherai rien, c'est à vous de régler le problème, pas à moi de courir après un service de livraison qui a été choisis par votre vendeur et que j'ai payé une fortune.
Merci.",Positive,Customer Service,2023-07,0
Satisfait de mon achat,5,2023-09-20 00:00:00,"RAS, je suis satisfait de mon achat, livraison très rapide de ma nouvelle tv, livrée plus rapidement que prévu, livrée en deux jours au lieu d'au moins cinq jours. Très bonne expérience d'achat sur Rue du Commerce.",Positive,Electronics,2023-09,1
Livraison à date respectée et aide du…,5,2023-09-13 00:00:00,Livraison à date respectée et aide du livreur.joli buffet de très belle qualité,Positive,Shipping,2023-09,1
"Si votre article doit être réparé, vous avez perdu",1,2023-08-28 00:00:00,"Comme de nombreuses personnes ici (pour preuve les derniers avis), je commande un écran gygabite m27q. Pas de chance, un trait vertical vert traverse l'écran dès son allumage. Ecran renvoyé. RDC mentionne un délai de 3 jours après réception pour étudier le problème, puis 3 jours supplémentaires pour faire un retour. Plus d'une semaine ouvrée passe et RDC donne un délai de 6 semaines pour la réparation. Il n'est ni possible d'échanger, ni possible d'accélérer la procédure. Aucune alternative n'est proposée. On se retrouve pris en otage de la commande. Il vaut mieux commander plus cher sur Amazon qui trouve des solutions plutôt que d'avoir à faire avec RDC.",Neutral,Customer Service,2023-08,0
A fuir comme la peste,1,2023-09-18 00:00:00,"A fuir comme la peste, j’ai commandé une CG qui a duré 3 semaines, je procède à un retour qui met 14j à arriver chez eux. Verdict, elle est bien défectueuse mais impossible d’avoir un remboursement car délai de rétractation passé. Elle est envoyé en réparation pour 6 semaines, résultat je dois attendre encore 1 mois et demi, et en plus j’ai un produit réparé alors que j’ai payé une CG neuve. Je n’aurai eu aucun mal chez Amazon ou autre concurrent à voir un remboursement ou un autre produit neuf, bref ne surtout pas aller chez eux.",Negative,Customer Service,2023-09,0
Entreprise désastreuse,1,2023-09-18 00:00:00,"Entreprise désastreuse. Plusieurs mois pour apporter une réponse à un lot d'écran dont l'un est déféctueux et ne rembourse qu'un seul sans reprendre le deuxième. Remboursement moindre que la valeur ! Ce qui m'obligerai à rajouter de ma poche. 4 Mois pour cette réponse et même pas un geste commercial. Allez plutôt voir chez Amazon ou je n'ai jamais rencontré ce genre de problème.

Édit: 
Le magasin continue de se moquer du client, ils ont remboursé la valeur d’un écran alors qu’ils ont l’obligation légal de le remplacer. Sachant qu’il est en stock chez eux. 
J’ai acheté un lot d’écran, cela figure sur la facture sur une seule ligne. Je ne peux pas profiter de ce lot actuellement. Si j’achète une paire de chaussure je veux avoir les deux, pas qu’on me rembourse la moitié.

De plus aucuns gestes commercial de leurs part. Le bon d’achat n’a était émis que 4 MOIS après qu’ils aient reçu l’écran et des dizaines d’appels et messages. 
Pour rappel vous avez l’obligation de ne pas dépasser 1 mois. 

Commandez chez Amazon vous serez beaucoup mieux servis.",Neutral,Customer Service,2023-09,0
Tout est parfait,5,2023-09-16 00:00:00,Tout est parfait - Merci beaucoup.,Positive,Uncategorized,2023-09,1
Je n’ai jamais eu le moindre problème…,5,2023-09-01 00:00:00,Je n’ai jamais eu le moindre problème avec rue du commerce. Envoi toujours rapide et produit toujours bien emballé. Je recommande fortement.,Positive,Customer Service,2023-09,1
Colis refusé en point relai,1,2023-08-30 00:00:00,"Colis refusé en point relai suite à plusieurs commandes vu avec le service commercial!!! Depuis pas de remboursement... ils mènent l'enquête et tourne en rond sans apporter de solution, pourtant j'ai été patient...!!! Le colis ne serait toujours pas arrivé chez eux . Le service commercial se fou ouvertement de vous... évitez de commander chez eux si il ya un soucis ils ne pourrons rien faire pour vous.",Neutral,Customer Service,2023-08,0
Parfait,5,2023-08-21 00:00:00,"Parfait, je n'avais pas racheté sur ce site depuis des années, et bien aucune déception, livraison rapide, article correspondant en tout point à la description et de qualité, et le meilleur tarif que j'ai pu trouvé pour ce genre d'article sur le net, même Amazon étaient plus cher.",Positive,Shipping,2023-08,1
Four endommagé,1,2023-08-28 00:00:00,"J'ai commandé un four qui est arrivé endommagé. Malgré plusieurs échanges avec ""Rue du Commerce"" et le vendeur, impossible de faire retourner l'article. Ils me font tourner en rond. Je dépose un dossier auprès de la Répression des Fraudes. Service client qui vous fait croire qu'une solution est possible, mais qui vous déçoit à chaque fois en vous redemandant les mêmes éléments.",Negative,Customer Service,2023-08,0
Ce sont des voleurs !,1,2022-10-15 00:00:00,"Ce sont des voleurs !! 
J’achète une APPLE Watch qui a un défaut, le vendeur n’est plus joignable alors le site prend le relais, j’explique par téléphone puis par mail avec photo. 
On me demande de remplir une feuille de cession et d’envoyer ma montre. J’ai bien les mails me disant que je vais être remboursé.
Depuis ça je n’ai jamais eu le remboursement et quand j’appelle on me dit toujours que le dossier est en cours, ça fait 2 ans ….. 
du coup ils ont ma montre et je n’ai pas l’argent…. Elle m’aura fait 2 mois ! Des VOLEURS ! a fuir !!!!",Neutral,Electronics,2022-10,0
Pergola VIDAXL,1,2023-08-09 00:00:00,"Nous avons commandé le 09/08/2023 une pergola en bois VIDAXL. Nous avons reçu 2 colis un jour avec des emballages déchirés et 2 autres colis le lendemain dans le même état. A l'intérieur aucune notice de montage ni visserie. Après plusieurs mails avec rue du commerce nous décidons de renvoyer cet article en demandant un échange. Le retour étant fait nous recevons à nouveau 2 colis le jeudi, 1 colis le vendredi et 1 autre le lundi. Pourquoi ne pas tout recevoir en même temps? Dans ces colis toujours aucune notice ni visserie .Pourquoi rue du commerce continue les achats sur le site VIDAXL si ce site n'est pas sérieux lors de ses envois? Quand on achète un meuble en kit nous avons bien une notice et des vis.",Neutral,Shipping,2023-08,0
Très déçu du service client,1,2023-07-21 00:00:00,"Très déçu du service client, après avoir reçu un smartphone défectueux via un partenaire marchand sur rue du commerce j'ai renvoyé l'article en question (numéro de suivi de colis a l'appui) et 2 mois après je n'ai tjrs pas été rembourse. Malgré mes nombreuses relances et appels on ne m'a proposé aucune solution. Je prépare mon courrier de mise en demeure et sans solution votre part je serai amené a saisir la DGCCRF.",Neutral,Electronics,2023-07,0
Après l'achat d'un téléviseur sur rue…,1,2023-08-16 00:00:00,"Après l'achat d'un téléviseur sur rue du commerce, ma télécommande est tombée en panne. Aucune solution du côté de rue du commerce quit me renvoi sur son vendeur partenaire qui n'en a rien à faire de mon problème. Je déconseille le site puisque même sous garantie on ne vous remplace pas votre achat !",Neutral,Customer Service,2023-08,0
Doublement ravi,4,2023-09-01 00:00:00,"Doublement ravi car je n'étais pas au courant qu'avec cette CG j'allais recevoir une clé de jeux. Un bon suivi de mail de la part de ""Rue du commerce"".",Positive,Uncategorized,2023-09,1
Achat d'un smartphon°ne samsung S20+,2,2023-08-03 00:00:00,"Achat d'un smartphone samsung S20 + 128go . Dès réception, constat que la version logiciel est Américaine et non européenne,  ce qui me prive, par exemple, de l'avertissement appels spam, tant pis, le pire est que l'écran de se smartphone se fige très souvent, que ce smartphone m'annonce qu'il n'y a pas de Sim à l'intérieur, qu'un débranchement de chargeur perturbe le fonctionnement, une batterie qui se vide rapidement.Il faut que je redémarre ce téléphone, au moins 3 fois par jour pour retrouver un bon fonctionnement.  Ce smartphone semble avoir été bricolé et expédié comme neuf.
Je tiens a signaler, ce smartphone a été acheté pour remplacer un smartphone du même modèle malheureusement cassé, donc je connais son fonctionnement et ses caractéristiques. Regrets d'être passé par ce site, je ne l'ai pas payé cher, mais malheureusement, il faut investir de nouveau.",Negative,Electronics,2023-08,0
Carte graphique renvoyé le 25 août,1,2023-09-09 00:00:00,"Carte graphique renvoyé en SAV le 25 août, ils l’ont reçu le 28aout, il ne la prennent en charge que la 6 septembre en me disant qu’il y a un « choc » sur la carte (grille un tout petit peu plié et pas la a l’envoi du colis photos à l’appui)
Après m’avoir dis qu’ils dénonceraient peut être la garantie, ils me disent 4 a 6 semaine de réparation

Résultat 2 mois sans mon outil de travail et même pas sûre que la garantie prenne en charge c’est inacceptable",Neutral,Shipping,2023-09,0
Garantie à condition de retourner le tel à Honk Hong en avançant les frais de port si tant est qu'ils soient remboursés,1,2023-09-01 00:00:00,"J'achète un téléphone Samsung neuf. Au bout d'une semaine, l'écran commence à montrer des signe de dysfonctionnement intermittent pour finir par ne plus fonctionner du tout. Rue du commerce se contente de relayer les messages du vendeur qui me demande dans un français de traducteur automatique de renvoyer le téléphone à Honk-Hong et me fournit un adresse qu'aucun transporteur ne reconnait. 
Je demande un bon de retour pré payé, impossible. on me dit que les frais me seront remboursés. C'est 110€ minimum. Pour un tél à 192€ je doute que le vendeur rembourse. On me garanti que si. Mais de toute façon l'adresse n'est pas valide.
Merci et bravo le service client !
C'était ma première et dernière commande sur ce site d'escrocs.",Negative,Electronics,2023-09,0
sav deplorable  …,1,2023-09-07 00:00:00,service sav deplorable 2 semaine  attente et toujours pas de nouvelles je ne sait toujours pas si je vais être rembourser et du coup ca me bloque car c est une grosse commande une honte 2 semaine pour traiter un simple colis et quand je tel on me ballade ne commander jamais sur ce site pourri car si vous avez un soucis l attente va etre tres longue,Negative,Customer Service,2023-09,0
Très mauvaise expérience une éternité…,1,2023-09-03 00:00:00,"Très mauvaise expérience une éternité pour me rendre mon argent qui est pour le moment en autorisation malgré l'annulation de la commande a l'instant même de l'achat 3 jours et toujours pas recréditer sur mon compte jamais rencontré se problème sur d'autres site concurrent bien connu honteux je ne conseille absolument pas se marchant en ligne..
Commande n°45516872 du 03/09/2023..",Neutral,Customer Service,2023-09,0
J'ai déposé plainte (police + DGCCRF)…,1,2023-09-05 00:00:00,"J'ai déposé plainte (police + DGCCRF) contre eux, leur partenaire ne veut pas me rembourser un colis volé alors qu'il est dans l'obligation de le faire, cela fait un mois et demi que la procédure traine et que Rue Du Commerce , s'en est lavé les mains !!
Chers clients RDC, je vous rassure la DGCCRF les a dans le viseur et je ne compte pas les lâcher, même si je me fais rembourser , j'irai jusqu'au tribunal juste pour leur malhonnêteté",Neutral,Customer Service,2023-09,0
Aucune pitié garantie dépassée de 3 mois débrouillez vous,1,2023-09-05 00:00:00,"Complètement déçu de ce site, nous avons acheté un lave-linge en mai 2021 et aujourd'hui un avons déjà un soucis de roulement et d'après les avis de plusieurs réparateurs cela est très surprenant au bout de 2 ans à peine ! Je contacte le site rue du commerce mais on m'indique que l'on ne peut rien faire pour moi la garantie étant dépassée de 3 mois ! On ne cherche pas à me proposer une solution étant donné ce soucis est quant même surprenant et donc pas normal en si peu de temps et bien là conseillère à juste tourné son message en boucle pour répéter ""Mme la garantie est dépassée de 3 mois on ne peut rien faire du tout"" allez hop merci d'avoir acheté sur notre site en gros maintenant allez voir ailleurs ! C'est honteux je ne suis pas prête de recommander sur ce site ! Mais si j'avais si jamais je n'aurais commandé sur ce site😡😡😡",Positive,Customer Service,2023-09,0
Sav nul,1,2023-09-05 00:00:00,"Au début colis perdu/volé par chronopost donc pas leur faute mais derrière une attente interminable pour procéder au renvoi alors qu'ils avaient la preuve de chronopost ils ont fait ""enquête"" sur enquête pour retarder. Au final plus de 15j pour une livraison 48h..",Neutral,Shipping,2023-09,0
Passez votre chemin,1,2023-08-29 00:00:00,"Tout simplement un site sans compétence…
Moi qui voulez acheter sur un site français, je me suis bien rendu compte du gouffre de différence qu’il y a entre Rueducommerce et ses concurrents Amazon, Cdiscount (site français aussi)

La satisfaction client leur importe peu et je ne vois comment ce site peu encore tenir au vu des services proposé ailleurs.

Très déçu et ne commanderais plus jamais sur ce site en carton !",Neutral,Customer Service,2023-08,0
Livré en avance par rapport au délai…,5,2023-08-15 00:00:00,"Livré en avance par rapport au délai annoncé. Emballage soigné. Rien à redire, je recommande.",Positive,Customer Service,2023-08,1
Bonne plateforme de commande,5,2023-08-16 00:00:00,"Bonne plateforme de commande, produit reçu en bon état, délais respecté",Positive,Customer Service,2023-08,1
Très bon site sérieux,5,2023-08-16 00:00:00,"J'avais une idée du produit que je recherchais, j'ai trouvé très facilement car le site est très bien organisé d'une façon très claire. Toutes les étapes entre la commande et la réception du colis sont envoyées par email. Vraiment au top.",Positive,Customer Service,2023-08,1
Du vol tout simplement.,1,2023-09-01 00:00:00,"Bonjour, 
Je suis assez désemparé de constater que j’ai beau appelé les diffèrent service client de cette entreprise aucune réelle réponse. 
Premier appel facturé on me redirigé pas de réponse. 
Deuxième appel la personne décroche mais personne ne parle, j’ai beau demander de l’aide pas de réponse. 
Troisième appel on me dit d’envoyer un mail traiter sous 72.

Je parle de faire un achat de 2500 euros et leur site bloque et me dit que là faut est lié à ma banque. 
J’appelle la banque qui me dit que de leur côté tout est bon. 
On fait comment ???

Rue du commerce je vous invite à changer votre politique de gestion des problèmes, car là il s’agit de vol. 
J’attend de pied ferme une déduction de mes appel ainsi qu’un avantage sur ma commande. 

Je considère sincèrement et je pèse mes mes mots. 
M’être fait entuber. 

Vraiment grosse déception",Neutral,Customer Service,2023-09,0
Très bien,5,2023-08-15 00:00:00,"Très bien, service impeccable",Positive,Customer Service,2023-08,1
Trottinette kugoo kukirin G3,1,2023-07-28 00:00:00,"J'ai commandé une trottinette via leur site jusque là aucun problème. 
J'ai reçu la trottinette et en même pas 1 mois et 174km elle tombe en panne chose qui peut arrivé,un produit que j'ai quand mêle payé 700euros.
Je contacte le vendeurs thetopshop qui me balade avec des promesse qui n'aboutit à rien et le service client de rue du commerce qui ne font rien de leurs côté pour que cela avance.
Le produit a une garantie auprès du vendeur et nationale mais impossible d'avoir une réponse concrète pour la prise en charge du produit.
Je trouve vraiment leurs attitude indigne d'une telle enseigne.",Negative,Customer Service,2023-07,0
Appareil très bon a ce prix là (370€),4,2023-08-18 00:00:00,"Expédition plus rapide que prévu, mais sans signature de réception. Les points forts du S21 ultra sont la photo (optique, réglages, outils de prise de vues...) et l'écran qui est étonnant (et processeur rapide). Le petit moins c'est la batterie qui tient 1,5j a 2j max sans trop d'utilisation (4*). Tout ça est a modérer car j'avais un appareil standard... Ca reste pour moi un tres bon achat a ce prix là. PS : y a pas de chargeur juste un cordon USB C/C, pas d'écouteur BT.",Positive,Shipping,2023-08,1
Navigation fiable,5,2023-08-15 00:00:00,"Navigation fiable , livraison rapide et bon service technique aussi je recommande Rue du commerce à tous",Positive,Customer Service,2023-08,1
Aucun soucis pour la commande…,5,2023-08-04 00:00:00,Aucun soucis pour la commande réception. Merci,Positive,Customer Service,2023-08,1
Commande pour 1 article invisible ???,1,2023-08-20 00:00:00,"Commande pour 1 article invisible ???

Commande d'une climatisation jamais livrée, notifiée comme : ""Colis refusé par le destinataire"" (vu sur le suivi chronopost) hors personne ne c'est présenté à mon domicile le jour de la livraison prévu, 2 messages d’écrits pour le s.a.v. Rue du Commerce, je n'ai pas eu de réponse ??? J'aimerais être remboursé, merci.",Neutral,Customer Service,2023-08,0
Les performances son un peu en baisse,4,2023-08-18 00:00:00,"Les performances son un peu en baisse, le produit chauffe énormément,ce qui peut expliquer cette baisse . installer dans une grande tour HAF Cooler Master très bien ventilée",Positive,Marketplace,2023-08,1
Très bon site,5,2023-08-11 00:00:00,"Très bonne entreprise,avais déjà passée une commande chez eux et très satisfait",Positive,Customer Service,2023-08,1
j ai produit encore sous garantie…,1,2023-08-18 00:00:00,"j ai produit encore sous garantie (casque bose qc35) qui ne fonctionne plus depuis 10 jours.
j ai contacté rueducommerce le 18/08/2023 qui soit disant devait contacter le vendeur avec réponse sous 48h ouvrables. rien ne s est passé. chaque fois que j essaie de contacter le niveau superieur  on me dit qu il ba me rappeler d ici 48h  et il n en est rien.l interlocuteur au bout du fil est là uniquement pour vous ""promener""jusqu à ce qu on se lasse de réclamer.",Neutral,Customer Service,2023-08,0
Délais respectés prix imbattable,5,2023-08-19 00:00:00,Délais respectés prix imbattable,Positive,Shipping,2023-08,1
Merci beaucoup,5,2023-07-27 00:00:00,"J’ai pu profiter d’une promotion exceptionnelle qui m’a permis de pouvoir m’offrir cette sublime télévision. Livraison rapide et réception d’un produit en parfait état.
Quelle télévision extraordinaire! Facile à installer, à utiliser. Le Choix qui est gratuit pour les images est très sympa. L’image est au top. Je ne regrette pas mon achat.",Positive,Shipping,2023-07,1
Commande arrrivee avec 3 semaines de…,3,2023-08-22 00:00:00,Commande arrrivee avec 3 semaines de retard !,Negative,Customer Service,2023-08,0
SAV inexistant,1,2023-08-25 00:00:00,"SAV inexistant, pas de réponses par mail",Neutral,Uncategorized,2023-08,0
Service parfait,5,2023-07-27 00:00:00,"Service parfait, si il y a un problème ou un retour ils réagissent vite, et le problème est vite résolu, j'en ai fait l'expérience, ça inspire la confiance!
Housse que je connaissait déjà pour un pc en 15 pouces, produit vraiment d'excellente qualité que je recommande sans réserve, qualité de fabrication et protège très bien le pc.",Positive,Customer Service,2023-07,1
Fuyez ce site !,1,2023-08-20 00:00:00,"Très déçu de ce site. Après 3 mois de fonctionnement carte graphique en panne.
Demande SAV -> résultat réparation avec un délai de 4 à 6 semaines.
Avec le renvoi on reste 2 mois sans PC !!!

PS : Trustpilot .... j'ai scanné les messages au cas où vous auriez de nouveau besoin de preuves au risque de retirer un avis !",Neutral,Shipping,2023-08,0
Je recommande +++,5,2023-08-07 00:00:00,Livraison ultra-rapide prix très attractif et produit super,Positive,Shipping,2023-08,1
samsung ss10e,5,2023-08-25 00:00:00,"la selection des produits devient beacoup plus aléatoire : on vous ouvre le magasin des produits non ciblés, pratique commerciale moderne que je réprouve mais  rdc reste le plus convenable                                           cdlt
article fin de série : excellent article et  excellent rapport",Positive,Marketplace,2023-08,1
Après l'épisode plus que chaotique du…,1,2023-08-19 00:00:00,"Après l'épisode plus que chaotique du mois de juillet où les commandes avaient pris un retard considérables ajoutés à un SAV déplorable, la série des incapables continues. Après avoir commandé un câble de remplacement de recharge pour mon téléphone portable, en le recevant je m’aperçois que celui ci n'est pas compatible avec mon téléphone alors que sur leur fiche rien ne le laissait présager. Je prends donc contact avec la sus nommée entreprise Rue du commerce (paix à son âme) qui me dit que c'est moi qui aurait dû mieux me renseigner et qu'ils allaient demandé au vendeur de ce produit s'il acceptait un retour (on atteint des sommets en âneries là). Non mais depuis quand une entreprise demande à un vendeur sur leur plateforme si j'ai le droit ou pas de demander un retour avec remboursement. A priori le droit de rétractation est un sujet qui leur est totalement inconnue !!! enfin bref c'est une entreprise d'incapable et à fuir à la vitesse de la lumière !!!!

n°client 111811708

Mais j'en suis quand même à plusieurs messages de vos services qui me servent des réponses qui n'ont ni queue ni tête !!!",Negative,Electronics,2023-08,0
Je recommande RUEDUCOMMERCE franchement…,5,2023-08-25 00:00:00,Je recommande RUEDUCOMMERCE franchement sans modération. Tout c’est bien passé - mais c’est n’est pas la 1. fois que je passé une commande chez eux… 👍🏻👍🏻👍🏻,Positive,Customer Service,2023-08,1
Parfait Promotion sur Samsung s20fe…,4,2023-08-18 00:00:00,Parfait Promotion sur Samsung s20fe très intéressante + livraison parfaite manque juste facture 25.08.23,Positive,Shipping,2023-08,1
Livraison confoe produit également prix…,5,2023-08-24 00:00:00,Livraison conforme produit également prix avantageux👍,Positive,Shipping,2023-08,1
Première et dernière fois que j'achète…,1,2023-08-06 00:00:00,"Première et dernière fois que j'achète chez rdc.
Moi et mon mec avons acheté deux cartes graphiques rx 6700 xt avec la promo Starfield.

Nous nous attendions à obtenir deux codes en toute bonne fois en regardant la fiche produit qui disait une carte achetée un jeu Starfield offert, mais non ...

Chez Rue du commerce (après 15 jours, temps de rétractation) on vous explique que c'est un code par commande et rien de plus.

Malgré mon insistance, ils ne veulent rien entendre en se cachant derrière les conditions de l'offre (non accessible depuis le site, il faut aller sur un site non linké  ""amdrewards"" pour y avoir accès)

Il est tout à fait normal de s'attendre à un deuxième code, tellement il est compliqué d'y voir clair dans tout se fouillis.

Je ne dirais pas que c'est de l'arnaque, mais que la pratique est au mieux malhonnête car rien n'est clairement établi et que pour y voir clair, il faut clairement y donner du sien.

Après avoir été en contact avec AMD figurez vous qu'ils peuvent faire comme bon leur semble (c'est leur parole textuellement et je peu fournir la copie du mail), ça n'enlève en rien que la pratique est malhonnête et anti-consommateur; moralité la prochaine fois 
commandez sur deux comptes différents où fuyez ces sites !",Positive,Customer Service,2023-08,0
Je suis satisfait du site et du service…,5,2023-08-08 00:00:00,Je suis satisfait du site et du service client.,Positive,Customer Service,2023-08,1
"Très déçu, limite mensonger",1,2023-08-02 00:00:00,"Très déçu. J ai commandé un processeur spécialement chez eux pour profiter d une offre d un jeu gratuit ( Starfield ) .

Après commande, j envoi un mail pour savoir comment récupérer mon jeu. Et là, l enfumade commence....

On me dit que sous 15 jours , je recevrai un mail pour le jeu mai dans la limite des stocks disponibles ( bizarre, l editeur du jeu n as jamais prévenu à ce sujet).

Au bout de 18 jours , toujours pas de mail, je me decide d aller voir sur le site. J y étais passé le 14ème jour et l offre était toujours présente. Et la, hop, plus d offre....

Donc je suppose que c est juste un fumigène pour forcer les gens à acheter chez eux par le biais de cette fausse offre. 

Après tout, si c est dans la limite des stocks disponibles, ils doivent savoir combien ils ont de jeux a offrir et combien d articles eligibles ils vendent avec.
Donc l offre aurait du disparaître au bout d un moment, pourtant elle était presente 2 semaines après. 

J ai du coup payer un processeur plus cher pour avoir le jeu avec que je n aurais pas au final.

J'attends des explications de leur part, et selon, je viendrai modifier mon avis.
Mais là pour l instant, c est fini pour moi rue du commerce.
Juste l impression qu on m as pris pour un c...

--‐--------------

Maj du 31/08/2023

Suite à un mail du 23/08/2023

On me réponds que des codes supplémentaires ont été demandés à AMD.
Et que le mien me sera envoyé une fois que RDC les auras reçus. 

En date du 31/08, soit 8 jours après, je n ai toujours rien reçu. 
Super, le jeu sort dans 6 jours.....

Et en voyant sur le forum quechoisir.org que je ne suis pas le seul dans ce cas, je maintiens ma note de 1 étoile sans aucun souci.",Positive,Customer Service,2023-08,0
Excellent Service.,5,2023-08-02 00:00:00,Excellent Service.,Positive,Customer Service,2023-08,1
Ça fait 18 ans que je commande chez rue…,1,2023-07-19 00:00:00,"Ça fait 18 ans que je commande chez rue du commerce j'ai jamais eu de problème de retard de expédition et là ça fait 4 ans que j'ai pas commandé chez  eux j'ai commandé presque pour 1000 € composant informatique commande 
Le 19/07/23 le 23//07/23 on m'envoie un message comme quoi ma commande sera retardée avec excuse  car un produit n'était pas en stock c'est quand on m'a dit au téléphone et le 24 07 23 par miracle ça a été expédié  en livraison rapide alors je demande dédommagement on me répond une semaine après on me ferait une petite réduction je regarde la boîte mail  aucun message de réduction juste le message que j'ai envoyé et je relance plusieurs fois pendant une semaine et là on me dit que je n'ai pas le droit à une réduction colis arrivée à l'heure alors pourquoi il m'envoie un message comme excuse  du retard et ça ils l'ont dans l'ordinateur et il veut pas dire  dommage j'aurais fait un copier coller comme preuve  mais je l'ai perdu et le mail il a disparu de ma boîte comme si c'était un mail qui s'efface au bout de 24 heures comme certains le font avec les textos le panier que j'avais mis à 249 € pour un refroidissement de mon i9 et ben je vais l'acheter ailleurs et en plus je gagne 30 € de réduction avec une clé de jeu Steam dès que la garantie est terminée je dis bye bye et je supprime mon compte rue du commerce fini",Negative,Electronics,2023-07,0
Samsung G9 NEO,5,2023-08-08 00:00:00,"J'ai commandé un Samsung G9 NEO chez eux, aucun problème!  Livraison super rapide, et en super état",Positive,Customer Service,2023-08,1
RAS je recommande,5,2023-08-03 00:00:00,RAS je recommande,Positive,Customer Service,2023-08,1
Un site fiable avec de bons deals,5,2023-07-19 00:00:00,"De très bons deals par rapport aux concurrents, la commande et la réception se sont très bien passées !",Positive,Customer Service,2023-07,1
