id,title,rating,date,body,sentiment,category,satisfied,text
372,livraison rapide,5,2024-05-29 00:00:00+00:00,livraison rapide,Neutral,Shipping,1,livraison rapide livraison rapide
373,genial ne changez rien,5,2024-05-29 00:00:00+00:00,genial ne changez rien,Negative,Uncategorized,1,genial ne changez rien genial ne changez rien
374,J'ai retourné un Iphone défectueux au…,1,2024-05-29 00:00:00+00:00,"J'ai retourné un Iphone défectueux au vendeur Online ( sur la marketplace cdiscount ) qui l'a reçu la semaine dernière. Suite à relance de ma part , le vendeur refuse le remboursement et envisage la possibilité d'un échange ( ""mais qui peut prendre du temps"" selon ses propres mots, il se fiche visiblement de moi ! ). Il possède actuellement à la fois l'article et les 218 € que je lui ai payés. Cela s'appelle pour moi du vol. Je demande à Cdiscount d'intervenir pour obtenir le remboursement. Cdiscount me répond que le vendeur a jusqu'au 25 juin ( c'est-à-dire encore un mois) pour faire un échange ( avec un article toujours aussi pourri, vu l'attitude malhonnête du vendeur) et que je dois attendre jusque là. Il semblerait que Cdiscount abrite des voleurs qui agissent en toute impunité sur ce site. Je sais à quoi m'en tenir et je supprimerai aussitôt ""l'affaire réglée"" mon compte de ce site dans lequel je n'ai plus aucune confiance. Je mets en garde les éventuels clients contre les agissements de certains vendeurs peu scrupuleux sur ce site et le peu de soutien que l'on peut attendre de Cdiscount en cas de problème",Negative,Electronics,0,"J'ai retourné un Iphone défectueux au… J'ai retourné un Iphone défectueux au vendeur Online ( sur la marketplace cdiscount ) qui l'a reçu la semaine dernière. Suite à relance de ma part , le vendeur refuse le remboursement et envisage la possibilité d'un échange ( ""mais qui peut prendre du temps"" selon ses propres mots, il se fiche visiblement de moi ! ). Il possède actuellement à la fois l'article et les 218 € que je lui ai payés. Cela s'appelle pour moi du vol. Je demande à Cdiscount d'intervenir pour obtenir le remboursement. Cdiscount me répond que le vendeur a jusqu'au 25 juin ( c'est-à-dire encore un mois) pour faire un échange ( avec un article toujours aussi pourri, vu l'attitude malhonnête du vendeur) et que je dois attendre jusque là. Il semblerait que Cdiscount abrite des voleurs qui agissent en toute impunité sur ce site. Je sais à quoi m'en tenir et je supprimerai aussitôt ""l'affaire réglée"" mon compte de ce site dans lequel je n'ai plus aucune confiance. Je mets en garde les éventuels clients contre les agissements de certains vendeurs peu scrupuleux sur ce site et le peu de soutien que l'on peut attendre de Cdiscount en cas de problème"
375,SAV CDISCOUNT catastrophique,1,2024-05-29 00:00:00+00:00,"SAV CDISCOUNT catastrophique, vous êtes dans un centre d'appel qui emploie des gens qui ne comprennent rien et se contredisent.
Cdiscount renvoie ces clients vers lee fabricant systématiquement en cas de panne et se decharge de ses responsabilités. 
Sachez que c'est illégal,  le vendeur doit prendre en charge la garantie (si votre article en panne a moins de deux ans) et se retourner vers le fabriquant 
Cela s'appelle la garantie légale de 
conformité (articles L.217- 7 à L.217-14 du Code de la consommation).
Vous pouvez et devez exiger qu'ils s'occupent de tout, vous n'avez rien à voir avec le fabricant. 
Croyez moi, si vous tombez en pannes avec un appareil acheté chez Cdiscount, bon courage pour être dépanné.
Fuyez ce vendeur",Negative,Customer Service,0,"SAV CDISCOUNT catastrophique SAV CDISCOUNT catastrophique, vous êtes dans un centre d'appel qui emploie des gens qui ne comprennent rien et se contredisent.
Cdiscount renvoie ces clients vers lee fabricant systématiquement en cas de panne et se decharge de ses responsabilités. 
Sachez que c'est illégal,  le vendeur doit prendre en charge la garantie (si votre article en panne a moins de deux ans) et se retourner vers le fabriquant 
Cela s'appelle la garantie légale de 
conformité (articles L.217- 7 à L.217-14 du Code de la consommation).
Vous pouvez et devez exiger qu'ils s'occupent de tout, vous n'avez rien à voir avec le fabricant. 
Croyez moi, si vous tombez en pannes avec un appareil acheté chez Cdiscount, bon courage pour être dépanné.
Fuyez ce vendeur"
376,Ayant commandé le 22/05/24 des Airpods…,1,2024-05-29 00:00:00+00:00,"Ayant commandé le 22/05/24 des Airpods Pro 2 à un tarif avantageux grâce à un code fourni par Cdiscount, on me propose grâce à mon abonnement une livraison le surlendemain. Délai non respecté .Le 25 Mai je reçois un message comme quoi le produit va être confié au transporteur ( Chronopost) . Nous sommes le 29 et depuis plus rien. J'ai contacté le service client qui m'annonce une enquête de 3 à 5 jours ouvrés ! Et non pas un renvoi de l'appareil mais un remboursement. Malheureusement entre temps le prix a augmenté et le code n'est plus valable. Je suis lésé. J'ai contacté également Chronopost qui me confirme n'avoir jamais eu le colis et que seul l'étiquette a été créée.
Service client déplorable. La soupe interne ne regarde pas le client qui a déjà payé son produit et ne l'a pas à la date convenue et ne pourra pas le racheter au tarif initial !
Je déconseille cette enseigne !",Negative,Customer Service,0,"Ayant commandé le 22/05/24 des Airpods… Ayant commandé le 22/05/24 des Airpods Pro 2 à un tarif avantageux grâce à un code fourni par Cdiscount, on me propose grâce à mon abonnement une livraison le surlendemain. Délai non respecté .Le 25 Mai je reçois un message comme quoi le produit va être confié au transporteur ( Chronopost) . Nous sommes le 29 et depuis plus rien. J'ai contacté le service client qui m'annonce une enquête de 3 à 5 jours ouvrés ! Et non pas un renvoi de l'appareil mais un remboursement. Malheureusement entre temps le prix a augmenté et le code n'est plus valable. Je suis lésé. J'ai contacté également Chronopost qui me confirme n'avoir jamais eu le colis et que seul l'étiquette a été créée.
Service client déplorable. La soupe interne ne regarde pas le client qui a déjà payé son produit et ne l'a pas à la date convenue et ne pourra pas le racheter au tarif initial !
Je déconseille cette enseigne !"
377,Sav déplorable ,1,2024-04-15 00:00:00+00:00,Acheter un lave linge en panne très rapidement sous garanti et deux mois après toujours pas réparé et toujours pas de solutions plus jamais d'achat sur ce site ,Negative,Marketplace,0,Sav déplorable  Acheter un lave linge en panne très rapidement sous garanti et deux mois après toujours pas réparé et toujours pas de solutions plus jamais d'achat sur ce site 
378,…iroise,4,2024-05-29 00:00:00+00:00,"une recherche  simple  et cde rapide  et si la marchandise est vendue et expediée par cdiscount  cela  est rapide, ce qui fait la force de vente de cdiscount.  merci  à  vous ",Neutral,Marketplace,1,"…iroise une recherche  simple  et cde rapide  et si la marchandise est vendue et expediée par cdiscount  cela  est rapide, ce qui fait la force de vente de cdiscount.  merci  à  vous "
379,Pas de mauvaises surprise avec eux…,4,2024-05-29 00:00:00+00:00,Pas de mauvaises surprise avec eux depuis pas mal de temps.,Negative,Uncategorized,1,Pas de mauvaises surprise avec eux… Pas de mauvaises surprise avec eux depuis pas mal de temps.
380,"Lit en 140,noir et chêne",1,2024-05-29 00:00:00+00:00,"Lit en 140,noir et chêne, avec tiroirs commandé le 30 avril pour 429 euros,reçu un lit en 160,blanc sans tiroirs,on me propose un échange ou un remboursement, je choisis l'échange, on me renvoie le même lit(sûrement un problème de référence),cette fois, l'échange est impossible car rupture de stock,la veille de la reprise du second mauvais lit,je constate que le lit est à nouveau en stock,30 euros plus cher,j'appelle et on me dit que c'est une erreur, que la page du produit n'a pas été actualisée et qu'il est toujours en rupture. Donc il est possible d'actualiser le prix d'un produit si celui-ci est en rupture mais pas son statut ? Et si je le commande à 459 euros il sera à nouveau en stock c'est ça ? Sans aucune garantie qu'il s'agira du bon produit ? Pas très sérieux tout ça 
Aucun couac dans les stocks mais dans la référence, il faut arrêter de faire ceux qui ne comprennent pas. Mes phrases sont claires. Vous me dîtes un couac dans les stocks alors que votre collègue parlait de couac dans l'actualisation de la page du produit sur le site,ce qui était faux,je sais de source sûre que le lit est en stock,est-ce le bon? Ça, pas la moindre idée ,il faut commander pour le découvrir. Voilà ce que je pense, vous ne vouliez pas faire une 3ème livraison, ça commence à coûter cher toutes ces livraisons, donc rupture de stock, alors on rembourse et oh surprise, la livraison ne m'est pas remboursée elle,vous m'envoyez un mail me parlant d'un remboursement de 424,...euros en bon d'achat convertible en numéraire, valable 1 an alors que c'est mon argent et non un cadeau que vous me faîtes, vous me créditez les 5 euros de différence en cagnotte à volonté sachant que je ne commanderai probablement plus ,si vous faîtes cela à tous vos clients,ça vous fait un joli pactole ,et vous me dîtes que ce montant comprend les frais de livraison ? C'est une blague ? J'en ai eu pour 464,98 euros et je compte bien être créditée de la totalité, je n'ai pas à payer la livraison d'un article que je n'ai pas commandé  !!!! Vous ne voulez pas l'échanger en prétextant une rupture de stock pour que je commande à nouveau le même lit 30 euros plus cher et avec une livraison qui ne sortira pas de votre poche,c'est honteux et malhonnête, il faudrait que je rajoute 30 euros pour le lit,environ 40 pour la livraison sans compter la livraison précédente que vous ne m'avez pas remboursé. Voilà ma proposition, vous me renvoyez le lit qui est bel et bien en stock et à vos frais,vous récupérez ma cagnotte et personne n'est perdant et si vous devez faire payer à quelqu'un les livraisons,je vous suggère de vous en prendre à la personne en charge de référencer les produits sur votre site ou à votre fournisseur. Je vous contacte dès demain et j'espère qu'après 13 ans de fidélité vous aurez une solution honnête à me proposer ",Negative,Customer Service,0,"Lit en 140,noir et chêne Lit en 140,noir et chêne, avec tiroirs commandé le 30 avril pour 429 euros,reçu un lit en 160,blanc sans tiroirs,on me propose un échange ou un remboursement, je choisis l'échange, on me renvoie le même lit(sûrement un problème de référence),cette fois, l'échange est impossible car rupture de stock,la veille de la reprise du second mauvais lit,je constate que le lit est à nouveau en stock,30 euros plus cher,j'appelle et on me dit que c'est une erreur, que la page du produit n'a pas été actualisée et qu'il est toujours en rupture. Donc il est possible d'actualiser le prix d'un produit si celui-ci est en rupture mais pas son statut ? Et si je le commande à 459 euros il sera à nouveau en stock c'est ça ? Sans aucune garantie qu'il s'agira du bon produit ? Pas très sérieux tout ça 
Aucun couac dans les stocks mais dans la référence, il faut arrêter de faire ceux qui ne comprennent pas. Mes phrases sont claires. Vous me dîtes un couac dans les stocks alors que votre collègue parlait de couac dans l'actualisation de la page du produit sur le site,ce qui était faux,je sais de source sûre que le lit est en stock,est-ce le bon? Ça, pas la moindre idée ,il faut commander pour le découvrir. Voilà ce que je pense, vous ne vouliez pas faire une 3ème livraison, ça commence à coûter cher toutes ces livraisons, donc rupture de stock, alors on rembourse et oh surprise, la livraison ne m'est pas remboursée elle,vous m'envoyez un mail me parlant d'un remboursement de 424,...euros en bon d'achat convertible en numéraire, valable 1 an alors que c'est mon argent et non un cadeau que vous me faîtes, vous me créditez les 5 euros de différence en cagnotte à volonté sachant que je ne commanderai probablement plus ,si vous faîtes cela à tous vos clients,ça vous fait un joli pactole ,et vous me dîtes que ce montant comprend les frais de livraison ? C'est une blague ? J'en ai eu pour 464,98 euros et je compte bien être créditée de la totalité, je n'ai pas à payer la livraison d'un article que je n'ai pas commandé  !!!! Vous ne voulez pas l'échanger en prétextant une rupture de stock pour que je commande à nouveau le même lit 30 euros plus cher et avec une livraison qui ne sortira pas de votre poche,c'est honteux et malhonnête, il faudrait que je rajoute 30 euros pour le lit,environ 40 pour la livraison sans compter la livraison précédente que vous ne m'avez pas remboursé. Voilà ma proposition, vous me renvoyez le lit qui est bel et bien en stock et à vos frais,vous récupérez ma cagnotte et personne n'est perdant et si vous devez faire payer à quelqu'un les livraisons,je vous suggère de vous en prendre à la personne en charge de référencer les produits sur votre site ou à votre fournisseur. Je vous contacte dès demain et j'espère qu'après 13 ans de fidélité vous aurez une solution honnête à me proposer "
381,je commande souvent chez vous sans…,5,2024-05-29 00:00:00+00:00,je commande souvent chez vous sans aucun problème et rapide en plus,Negative,Customer Service,1,je commande souvent chez vous sans… je commande souvent chez vous sans aucun problème et rapide en plus
382,RESTER COMME VOUS ETES CEST SUPER,5,2024-05-29 00:00:00+00:00,RESTER COMME VOUS ETES CEST SUPER,Positive,Uncategorized,1,RESTER COMME VOUS ETES CEST SUPER RESTER COMME VOUS ETES CEST SUPER
383,facile a trouver,5,2024-05-28 00:00:00+00:00,facile a trouver,Neutral,Uncategorized,1,facile a trouver facile a trouver
384,R.A.S,5,2024-05-28 00:00:00+00:00,R.A.S. Toujours impeccable !!,Neutral,Uncategorized,1,R.A.S R.A.S. Toujours impeccable !!
385,Bonne description du produit,5,2024-05-28 00:00:00+00:00,Bonne description du produit. Réponse immédiate à une question par le chat,Neutral,Marketplace,1,Bonne description du produit Bonne description du produit. Réponse immédiate à une question par le chat
386,BIEN,5,2024-05-28 00:00:00+00:00,RAS......PARFAIT,Positive,Uncategorized,1,BIEN RAS......PARFAIT
387,Une livraison pas fait à mon domicile,1,2024-05-28 00:00:00+00:00,"J'ai payé une livraison à domicile 4,99 et mon colis a atterri dans un relais, ce n'est pas conforme à ma demande",Negative,Shipping,0,"Une livraison pas fait à mon domicile J'ai payé une livraison à domicile 4,99 et mon colis a atterri dans un relais, ce n'est pas conforme à ma demande"
388,Livraisons CChez vous,4,2024-05-08 00:00:00+00:00,"Le site CDiscount propose des créneaux de livraison de 2H ou 4H, pour les objets lourds, avec un prix plus élevé pour le créneau de 2H

A Rouen, leur transporteur a 2 tournées, une le matin, l'autre l'après midi, et ne sait pas gérer les créneaux de 2H, inutile de prendre cette option.

Par ailleurs, suite à un attentat, le passage ""normal"" pour venir chez nous était bloqué, et le transporteur n'a pas eu la curiosité d'aller 100m plus loin, ou un accès à notre rue était disponible, du coup, la livraison n'a pas été effectuée

Remboursement effectué par CDiscount de l'appareil (acheté du coup en magasin physique) et des frais de port (remboursés par défaut sous forme d'un bon d'achat, qu'on peut demander à se faire payer en cliquant sur une demande au niveau de la commande)
",Negative,Customer Service,1,"Livraisons CChez vous Le site CDiscount propose des créneaux de livraison de 2H ou 4H, pour les objets lourds, avec un prix plus élevé pour le créneau de 2H

A Rouen, leur transporteur a 2 tournées, une le matin, l'autre l'après midi, et ne sait pas gérer les créneaux de 2H, inutile de prendre cette option.

Par ailleurs, suite à un attentat, le passage ""normal"" pour venir chez nous était bloqué, et le transporteur n'a pas eu la curiosité d'aller 100m plus loin, ou un accès à notre rue était disponible, du coup, la livraison n'a pas été effectuée

Remboursement effectué par CDiscount de l'appareil (acheté du coup en magasin physique) et des frais de port (remboursés par défaut sous forme d'un bon d'achat, qu'on peut demander à se faire payer en cliquant sur une demande au niveau de la commande)
"
389,Inutilisable.,2,2024-05-28 00:00:00+00:00,"Inutilisable.
Un joyeux bord**, les annonces sont à moitié remplies, pas dans la bonne catégorie, la recherche est incompréhensible, les résultats de recherche sont incohérents, les informations des annonces sont approximatives, inexactes. Si vous voulez passer deux heures, ouvrir 40 onglets, avant de pouvoir faire votre choix, allez-y...
Exemple, vous proposez un tri par critère de marque : quasiment aucun des vendeurs tiers ne rempli cette donnée correctement. Résultats complétement faussés...",Negative,Marketplace,0,"Inutilisable. Inutilisable.
Un joyeux bord**, les annonces sont à moitié remplies, pas dans la bonne catégorie, la recherche est incompréhensible, les résultats de recherche sont incohérents, les informations des annonces sont approximatives, inexactes. Si vous voulez passer deux heures, ouvrir 40 onglets, avant de pouvoir faire votre choix, allez-y...
Exemple, vous proposez un tri par critère de marque : quasiment aucun des vendeurs tiers ne rempli cette donnée correctement. Résultats complétement faussés..."
390,Commande non récupérée en statut livrée remboursement impossible donc paiement totale d'articles pas en ma possession!!!!!!,1,2024-03-16 00:00:00+00:00,"J'ai commandé une couette et deux oreillers (montant total de 77,85€), quand j'ai voulu les récupérer le point relais m'informe que la marchandise est retournée chez CDISCOUNT, je ne vois pas de remboursement au bout d'un certain temps, de ce fait j'appelle le Service Client qui m'informe que de leur côté le colis apparaît en statut ""livré"" chose impossible car je n'ai rien récupéré, donc j'ai tout payé et n'ai rien reçu et cerise sur le gâteau, le conseiller m'indique qu'elle ne peut rien faire. Donc comme j'ai été spoliée, je vais écrire un courrier à CDISCOUNT en copies : DGCCRF, Service des Consommateurs et UFC Que Choisir. Il est incroyable pour moi qui ai été une de leur fidèle cliente depuis 2003 d'en arriver là.....",Negative,Food,0,"Commande non récupérée en statut livrée remboursement impossible donc paiement totale d'articles pas en ma possession!!!!!! J'ai commandé une couette et deux oreillers (montant total de 77,85€), quand j'ai voulu les récupérer le point relais m'informe que la marchandise est retournée chez CDISCOUNT, je ne vois pas de remboursement au bout d'un certain temps, de ce fait j'appelle le Service Client qui m'informe que de leur côté le colis apparaît en statut ""livré"" chose impossible car je n'ai rien récupéré, donc j'ai tout payé et n'ai rien reçu et cerise sur le gâteau, le conseiller m'indique qu'elle ne peut rien faire. Donc comme j'ai été spoliée, je vais écrire un courrier à CDISCOUNT en copies : DGCCRF, Service des Consommateurs et UFC Que Choisir. Il est incroyable pour moi qui ai été une de leur fidèle cliente depuis 2003 d'en arriver là....."
391,Arnaques aux bons d'achat !,1,2024-05-28 00:00:00+00:00,"J'ai acquis 28,97 euros de bons d'achat et je souhaitais les utiliser pour un achat chez Cdiscount Cela me fut impossible, il fallait que je commande une carte bancaire Cdiscount, alors que j'ai ai déjà une. J'ai contrôlé sur Floabank qu'il m'était bien possible de payer avec cette carte sur Internet. J'ai essayé de les joindre par téléphone, impossible, par mail, impossible aussi. J'ai l'impression d'un énorme foutoire. Je sais que la maison mère, le groupe Casino a de sérieuses difficultés et je me demande si cela ne rejaillit pas sur Cdiscount. J'étais, jusqu'à ce jour satisfait, mais depuis plusieurs jours je galère à essayer de les joindre sans succès. J'ai décidé de passer ma commande à un autre commerçant et de faire fi de leur soit-disant bons qui, en fait, ne servent à rien, si ce n'est à appâter les gogos comme moi. 
Je précise que j'ai été contacté par Cdiscount après ce message et qu'ils ont résolu le problème en s'excusant. Je trouve tout de même anormal qu'il faille passer par trustpilot pour les joindre et les faire réagir. Je maintiens donc mon avis.
Merci pour votre remarque. La seule manière de vous rattraper, non seulement envers moi, mais aussi envers celles et ceux qui galèrent pour vous joindre, c'est de donner en clair un numéro de téléphone et une  adresse mail de votre service client non pro qui fonctionnent. Et pourquoi ne pas le faire ici, mais aussi de manière claire sur  facebook et autres médias que vous utilisez. Je précise que l'information que j'ai reçu de vos services, c'est avec un numéro ""noreply"", donc sans possibilité de répondre.",Negative,Electronics,0,"Arnaques aux bons d'achat ! J'ai acquis 28,97 euros de bons d'achat et je souhaitais les utiliser pour un achat chez Cdiscount Cela me fut impossible, il fallait que je commande une carte bancaire Cdiscount, alors que j'ai ai déjà une. J'ai contrôlé sur Floabank qu'il m'était bien possible de payer avec cette carte sur Internet. J'ai essayé de les joindre par téléphone, impossible, par mail, impossible aussi. J'ai l'impression d'un énorme foutoire. Je sais que la maison mère, le groupe Casino a de sérieuses difficultés et je me demande si cela ne rejaillit pas sur Cdiscount. J'étais, jusqu'à ce jour satisfait, mais depuis plusieurs jours je galère à essayer de les joindre sans succès. J'ai décidé de passer ma commande à un autre commerçant et de faire fi de leur soit-disant bons qui, en fait, ne servent à rien, si ce n'est à appâter les gogos comme moi. 
Je précise que j'ai été contacté par Cdiscount après ce message et qu'ils ont résolu le problème en s'excusant. Je trouve tout de même anormal qu'il faille passer par trustpilot pour les joindre et les faire réagir. Je maintiens donc mon avis.
Merci pour votre remarque. La seule manière de vous rattraper, non seulement envers moi, mais aussi envers celles et ceux qui galèrent pour vous joindre, c'est de donner en clair un numéro de téléphone et une  adresse mail de votre service client non pro qui fonctionnent. Et pourquoi ne pas le faire ici, mais aussi de manière claire sur  facebook et autres médias que vous utilisez. Je précise que l'information que j'ai reçu de vos services, c'est avec un numéro ""noreply"", donc sans possibilité de répondre."
392,onne va pas pallabre pour des piles,5,2024-05-28 00:00:00+00:00,"onne va pas pallabre pour des piles
",Negative,Uncategorized,1,"onne va pas pallabre pour des piles onne va pas pallabre pour des piles
"
393,Refus de remboursement sur article…,1,2024-05-28 00:00:00+00:00,Refus de remboursement sur article livré à l'autre bout de la France (confirmation chronopost) Remboursement annoncé mais jamais arrivé. Preuves de non remboursement communiquées mais rien à faire ... Propos désobligeants d'une opératrice.  Client de 12 ans mais c'est terminé. Pour 30 € !,Negative,Customer Service,0,Refus de remboursement sur article… Refus de remboursement sur article livré à l'autre bout de la France (confirmation chronopost) Remboursement annoncé mais jamais arrivé. Preuves de non remboursement communiquées mais rien à faire ... Propos désobligeants d'une opératrice.  Client de 12 ans mais c'est terminé. Pour 30 € !
394,rien de plus simple pour passer commande,5,2024-05-28 00:00:00+00:00,rien de plus simple pour passer commande,Negative,Customer Service,1,rien de plus simple pour passer commande rien de plus simple pour passer commande
395,Vraiment déçu,2,2024-05-27 00:00:00+00:00,"Quelques bonnes expériences et aussi pas mal de mauvaise avec plusieurs vendeurs sur Cdiscount. Je ne trouve pas très sérieux la manière de gérer leurs vendeurs arnaqueur qui vous vendent des produits qui ne sont pas les bons et que après ils vous disent on vous rembourse seulement un tiers du prix du produit pour le geste commercial. Bref je dirais a évité autant que possible si vous avez le choix. D'autre site sont beaucoup plus sérieux que Cdiscount et pourtant sont beaucoup plus critiqué que eux. 
Pour ma part je passe mon chemin maintenant. J'en est assez de donner de l'argent gratuitement sans avoir le produit et le service pour le quel je paye.
",Negative,Customer Service,0,"Vraiment déçu Quelques bonnes expériences et aussi pas mal de mauvaise avec plusieurs vendeurs sur Cdiscount. Je ne trouve pas très sérieux la manière de gérer leurs vendeurs arnaqueur qui vous vendent des produits qui ne sont pas les bons et que après ils vous disent on vous rembourse seulement un tiers du prix du produit pour le geste commercial. Bref je dirais a évité autant que possible si vous avez le choix. D'autre site sont beaucoup plus sérieux que Cdiscount et pourtant sont beaucoup plus critiqué que eux. 
Pour ma part je passe mon chemin maintenant. J'en est assez de donner de l'argent gratuitement sans avoir le produit et le service pour le quel je paye.
"
396,bonne experience,5,2024-05-28 00:00:00+00:00,ce que je recherchais,Neutral,Uncategorized,1,bonne experience ce que je recherchais
397,Très déçu de vos services de la gestion…,1,2024-05-15 00:00:00+00:00,Très déçu de vos services de la gestion de relation client et de l’importance que vous nous accorder. Sensation de s’être fait avoir une fois avoir payer il n’y as plus aucune personne disponible pour gérer le litige. Chaque conseiller se renvoie la balle et me demande d’attendre 48h toute les 48h.. ,Negative,Customer Service,0,Très déçu de vos services de la gestion… Très déçu de vos services de la gestion de relation client et de l’importance que vous nous accorder. Sensation de s’être fait avoir une fois avoir payer il n’y as plus aucune personne disponible pour gérer le litige. Chaque conseiller se renvoie la balle et me demande d’attendre 48h toute les 48h.. 
398,Produit livré rapidement,5,2024-04-10 00:00:00+00:00,Produit livré rapidement ,Neutral,Shipping,1,Produit livré rapidement Produit livré rapidement 
399,CDiscount & Floa Bank a fuir ! Il faut des mois pour résoudre un problème simple !,1,2024-05-27 00:00:00+00:00,"Courant janvier 2024, je commande une montre Apple avec 30% de réduction si une CB Floa Bank est commandée.
Malgré la commande de cette CB pas de réduction.
J'annule donc ma commande. ""Impossible"" car la montre n'est pas expédiée, me dit-on.
Je la refuserai donc lors de son arrivée au point relais dis-je.
Ce que je fais.
A l'arrivée de la montre au Pt relai, un message me dit que sous 12 jours la montre repart... Plusieurs semaines plus tard, elle est toujours au point relai. 
Je reçois un nouveau message disant la même chose.....
Je ne prends toujours pas la montre qui repart ENFIN le 13 mars.
Depuis CDiscount et Floa Bank me balade de l'un à l'autre...
Floa me prélève, indument,  tous les mois une mensualité, dont le SVC Client ne trouve pas trace.
Arès moult courriers aux directions de ces sociétés je reçois 2 mails (le 18 et 22 avril) disant que CDiscount a demandé à FLOA de me rembourser ladite montre.
Suite a un énième courrier a sa direction, Le 27 (hier) je reçois un mail de CDiscount qui me demande une lettre de Floa Bank disant que je n'ai pas été remboursé et mon relevé bancaire... 
Le problème qui dure depuis la mi-janvier n'est toujours par réglé et les près de 200€ prélevés sans raison, ne sont toujours pas remboursés ...
Futur clients de FLOA et CDiscount vous êtes prévenus !
-----------------------------

J'apprends ce jour que le remboursement a été fait (les sommes prélevées sont différentes des sommes remboursées et l'intitulé ne correspond a rien).
Il n'en demeure pas moins qu'il a fallu  plus de 3 mois pour que les sommes prélevées indument soient remboursées... 
Il a fallu des semaines pour qu'une simple annulation de commande soit prise en compte....
Il a fallu de très nombreux mails, courriers, et appels téléphoniques pour parvenir a un résultat qui aurait dû être réglé simplement ET rapidement !",Negative,Customer Service,0,"CDiscount & Floa Bank a fuir ! Il faut des mois pour résoudre un problème simple ! Courant janvier 2024, je commande une montre Apple avec 30% de réduction si une CB Floa Bank est commandée.
Malgré la commande de cette CB pas de réduction.
J'annule donc ma commande. ""Impossible"" car la montre n'est pas expédiée, me dit-on.
Je la refuserai donc lors de son arrivée au point relais dis-je.
Ce que je fais.
A l'arrivée de la montre au Pt relai, un message me dit que sous 12 jours la montre repart... Plusieurs semaines plus tard, elle est toujours au point relai. 
Je reçois un nouveau message disant la même chose.....
Je ne prends toujours pas la montre qui repart ENFIN le 13 mars.
Depuis CDiscount et Floa Bank me balade de l'un à l'autre...
Floa me prélève, indument,  tous les mois une mensualité, dont le SVC Client ne trouve pas trace.
Arès moult courriers aux directions de ces sociétés je reçois 2 mails (le 18 et 22 avril) disant que CDiscount a demandé à FLOA de me rembourser ladite montre.
Suite a un énième courrier a sa direction, Le 27 (hier) je reçois un mail de CDiscount qui me demande une lettre de Floa Bank disant que je n'ai pas été remboursé et mon relevé bancaire... 
Le problème qui dure depuis la mi-janvier n'est toujours par réglé et les près de 200€ prélevés sans raison, ne sont toujours pas remboursés ...
Futur clients de FLOA et CDiscount vous êtes prévenus !
-----------------------------

J'apprends ce jour que le remboursement a été fait (les sommes prélevées sont différentes des sommes remboursées et l'intitulé ne correspond a rien).
Il n'en demeure pas moins qu'il a fallu  plus de 3 mois pour que les sommes prélevées indument soient remboursées... 
Il a fallu des semaines pour qu'une simple annulation de commande soit prise en compte....
Il a fallu de très nombreux mails, courriers, et appels téléphoniques pour parvenir a un résultat qui aurait dû être réglé simplement ET rapidement !"
400,toujours des produits a des prix…,4,2024-05-27 00:00:00+00:00,toujours des produits a des prix intéressants,Negative,Marketplace,1,toujours des produits a des prix… toujours des produits a des prix intéressants
401,Ma commande n a pas bougé depuis 20…,1,2024-05-05 00:00:00+00:00,"Ma commande n a pas bougé depuis 20 jours et tres compliqué de rentrer en contact, rien ne se passe. ",Negative,Customer Service,0,"Ma commande n a pas bougé depuis 20… Ma commande n a pas bougé depuis 20 jours et tres compliqué de rentrer en contact, rien ne se passe. "
402,Réception du mauvais article en point…,1,2024-05-24 00:00:00+00:00,"Réception du mauvais article en point relais!!!
Erreur de leur part et ne renvoit pas l'article en systématique
Obligée d'appeler et pas d'envoi rapide pour compenser leur erreur!!!
Très très mécontente ",Negative,Shipping,0,"Réception du mauvais article en point… Réception du mauvais article en point relais!!!
Erreur de leur part et ne renvoit pas l'article en systématique
Obligée d'appeler et pas d'envoi rapide pour compenser leur erreur!!!
Très très mécontente "
403,très bonne expérience merci cdiscount .,5,2024-05-27 00:00:00+00:00,très bonne expérience merci cdiscount .,Neutral,Uncategorized,1,très bonne expérience merci cdiscount . très bonne expérience merci cdiscount .
404,Difficulté remboursement bons cadeaux,2,2023-12-18 00:00:00+00:00,"J'ai arrêté l'abonnement car trop de déconvenues aussi bien avec les fournisseurs de Cmarket que la qualité des produits ou de la livraison.
Difficile de se faire rembourser les bons cadeaux quand vous annulez une commande, déjà relancé 2 fois pour un bon de 50€. Je ne recommande plus du tout cette enseigne qui a perdu en qualité à tous points de vue.",Neutral,Customer Service,0,"Difficulté remboursement bons cadeaux J'ai arrêté l'abonnement car trop de déconvenues aussi bien avec les fournisseurs de Cmarket que la qualité des produits ou de la livraison.
Difficile de se faire rembourser les bons cadeaux quand vous annulez une commande, déjà relancé 2 fois pour un bon de 50€. Je ne recommande plus du tout cette enseigne qui a perdu en qualité à tous points de vue."
